fid,crs28992re,num_inhabi,num_0_15,num_15_25,num_25_45,num_45_65,num_65+,per_dutch,per_west,per_nonwes,avg_woz,num_social,Dis_Bicycl,Dis_Bicy_1,Dis_Bowlin,Dis_Bowl_1,Dis_Cinema,Dis_Cine_1,Dis_CityOf,Dis_City_1,Dis_Doctor,Dis_Doct_1,Dis_IceCre,Dis_IceC_1,Dis_Librar,Dis_Libr_1,Dis_Market,Dis_Mark_1,Dis_MetroS,Dis_Metr_1,Dis_Park_C,Dis_Park_1,Dis_Playgr,Dis_Play_1,Dis_School,Dis_Scho_1,Dis_Superm,Dis_Supe_1,Dis_Swimmi,Dis_Swim_1,Dis_TramSt,Dis_Tram_1,INDEX_WALK,VALUEPET,num_inh_2,,CR_FOOT_I,Old People_per_old_65
119392,E1182N4846,290,35,25,160,50,20,60,20,10,413,30,10003.99011,100,10003.99011,100,0,0,0,0,8862.804364,88.59269422,10003.99011,100,0,0,0,0,10003.99011,100,10003.99011,100,10003.99011,100,2.109486264,0.021086449,10003.99011,100,0,0,10003.99011,100,0.59,171.1,290,278.98,0.962,7
119393,E1183N4846,285,30,20,150,65,25,70,20,10,430,25,10003.99101,100,10003.99101,100,0,0,0,0,10003.99101,100,10003.99101,100,627.919153,6.276686501,0,0,10003.99101,100,10003.99101,100,10003.99101,100,0,0,10003.99101,100,0,0,10003.99101,100,0.6,171,285,285,1,9
119394,E1184N4846,195,15,15,95,45,20,70,20,10,458,20,10003.99191,100,10003.99191,100,0,0,0,0,10003.99191,100,10003.99191,100,10003.70988,99.99718086,0,0,10003.99191,100,10003.99191,100,10003.99191,100,0,0,10003.99191,100,0,0,10003.99191,100,0.67,130.65,195,195,1,10
119395,E1186N4846,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,-99997,10003.9937,100,10003.9937,100,0,0,0,0,10003.9937,100,10003.9937,100,10003.9937,100,0,0,3158.102645,31.56841898,10003.9937,100,1022.831418,10.22423094,0,0,10003.9937,100,0,0,10003.9937,100,0.56,1.12,2,2,1,100
119396,E1188N4846,115,15,25,35,25,15,50,20,30,453,20,10003.99548,100,10003.99548,100,0,0,0,0,10003.99548,100,10003.99548,100,10003.99548,100,0,0,10003.99548,100,10003.99548,100,0,0,0,0,10003.99548,100,0,0,10003.99548,100,0.6,69,115,115,1,13
119397,E1189N4846,205,20,15,85,50,35,60,20,30,408,30,10003.99636,100,10003.99636,100,0,0,0,0,10003.99636,100,10003.99636,100,10003.99636,100,0,0,10003.99636,100,10003.99636,100,0,0,0,0,10003.99636,100,0,0,10003.99636,100,0.6,123,205,205,1,17
119398,E1190N4846,95,-99997,10,30,20,30,60,10,30,424,5,10003.99725,100,10003.99725,100,0,0,0,0,10003.99725,100,10003.99725,100,10003.99725,100,0,0,10003.99725,100,10003.99725,100,0,0,0,0,10003.99725,100,0,0,10003.99725,100,0.6,57,95,95,1,32
119399,E1191N4846,140,-99997,10,85,35,10,60,30,20,360,15,10003.99813,100,10003.99813,100,0,0,0,0,10003.99813,100,10003.99813,100,10003.99813,100,0,0,10003.99813,100,10003.99813,100,0,0,406.3601487,4.061977456,10003.99813,100,0,0,10003.99813,100,0.6,84,140,140,1,7
119400,E1192N4846,210,20,15,90,50,30,50,20,30,398,35,10003.99901,100,10003.99901,100,0,0,0,0,10003.99901,100,10003.99901,100,10003.99901,100,0,0,6267.337893,62.64832581,10003.99901,100,0,0,9751.250822,97.47352847,10003.99901,100,0,0,10003.99901,100,0.64,134.4,210,210,1,14
119401,E1193N4846,290,40,35,70,85,60,60,20,30,460,40,10003.99989,100,10003.99989,100,0,0,0,0,10003.99989,100,10003.99989,100,10003.99989,100,0,0,5437.525901,54.35351822,10003.99989,100,0,0,10003.99989,100,10003.99989,100,0,0,10003.99989,100,0.64,185.6,290,290,1,21
