fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"118304",E1204N4850,"608","0.93"
"118305",E1205N4850,"619","0.93"
"118306",E1206N4850,"259","0.93"
"118307",E1207N4850,"587","0.93"
"118308",E1208N4850,"631","0.93"
"118309",E1209N4850,"450","0.93"
"118310",E1210N4850,"379","0.93"
"118311",E1211N4850,"445","0.93"
"118312",E1212N4850,"412","0.93"
"118313",E1213N4850,"385","0.93"
"118314",E1214N4850,"410","0.93"
"118315",E1215N4850,"453","0.93"
"118316",E1216N4850,"424","0.93"
"118317",E1217N4850,"445","0.93"
"118318",E1218N4850,"390","0.88"
"118319",E1219N4850,"429","0.87"
"118320",E1220N4850,"436","0.87"
"118321",E1221N4850,"423","0.84"
"118322",E1222N4850,"566","0.80"
"118323",E1223N4850,"662","0.80"
"118325",E1225N4850,"778","0.78"
"118326",E1226N4850,"542","0.75"
"118327",E1228N4850,"464","0.87"
"118328",E1229N4850,"387","0.90"
"118329",E1230N4850,"372","0.93"
"118330",E1231N4850,"391","0.93"
"118331",E1232N4850,"412","0.93"
"118332",E1233N4850,"525","0.89"
"118333",E1234N4850,"556","0.96"
"118334",E1235N4850,"398","1.00"
"118335",E1236N4850,"581","1.00"
"118336",E1237N4850,"418","1.00"
"118337",E1240N4850,"561","0.91"
"118338",E1241N4850,"735","0.79"
"118339",E1242N4850,"632","0.75"
"118340",E1243N4850,"540","0.73"
"118341",E1244N4850,"885","0.73"
"118342",E1245N4850,"654","0.73"
"118343",E1246N4850,"633","0.67"
"118344",E1247N4850,"447","0.60"
"118345",E1248N4850,"408","0.64"
"118346",E1249N4850,"286","0.58"
"118347",E1250N4850,"235","0.53"
"118348",E1251N4850,"70","0.53"
"118300",E1200N4850,"1859","0.82"
"123966",E1201N4827,"341","0.80"
"123503",E1201N4829,"340","0.80"
"123262",E1201N4830,"343","0.80"
"122813",E1201N4832,"718","0.77"
"123036",E1201N4831,"345","0.80"
"123504",E1202N4829,"348","0.80"
"123263",E1202N4830,"326","0.80"
"122814",E1202N4832,"1451","0.80"
"123037",E1202N4831,"407","0.80"
"123505",E1203N4829,"355","0.80"
"123264",E1203N4830,"343","0.82"
"123506",E1204N4829,"473","0.85"
"123265",E1204N4830,"589","0.87"
"123266",E1205N4830,"528","0.86"
"122815",E1206N4832,"121","0.80"
"123038",E1206N4831,"120","0.81"
"122816",E1207N4832,"120","0.80"
"123039",E1207N4831,"120","0.80"
"118008",E1203N4851,"775","0.93"
"118009",E1204N4851,"547","0.93"
"118010",E1205N4851,"589","0.93"
"118011",E1206N4851,"567","0.93"
"118012",E1207N4851,"500","0.93"
"118013",E1208N4851,"543","0.93"
"118014",E1209N4851,"417","0.93"
"118015",E1210N4851,"407","0.93"
"118016",E1211N4851,"416","0.93"
"118017",E1212N4851,"407","0.93"
"118018",E1213N4851,"507","0.93"
"118019",E1214N4851,"583","0.93"
"118020",E1215N4851,"564","0.93"
"118021",E1216N4851,"532","0.93"
"118022",E1217N4851,"412","0.93"
"118023",E1218N4851,"423","0.91"
"118024",E1219N4851,"450","0.87"
"118025",E1220N4851,"436","0.87"
"118026",E1221N4851,"421","0.86"
"118027",E1222N4851,"524","0.80"
"118028",E1223N4851,"527","0.80"
"118029",E1224N4851,"747","0.80"
"118030",E1225N4851,"752","0.80"
"118031",E1226N4851,"546","0.76"
"118032",E1227N4851,"354","0.82"
"118033",E1228N4851,"389","0.87"
"118034",E1229N4851,"336","0.90"
"118035",E1230N4851,"364","0.94"
"118036",E1231N4851,"351","0.97"
"118037",E1232N4851,"377","0.99"
"118038",E1233N4851,"450","0.96"
"118039",E1234N4851,"544","0.98"
