fid,crs28992re,num_social,INDEX_WALK
"119685",E1215N4845,"25","1.00"
"119684",E1214N4845,"20","1.00"
"119682",E1212N4845,"10","0.94"
"119681",E1211N4845,"20","0.98"
"119680",E1210N4845,"10","1.00"
"119679",E1209N4845,"5","1.00"
"120718",E1208N4841,"5","0.81"
"120722",E1212N4841,"10","0.94"
"120723",E1213N4841,"10","0.93"
"120724",E1214N4841,"20","0.89"
"120725",E1215N4841,"15","0.82"
"120726",E1216N4841,"15","0.80"
"120727",E1217N4841,"10","0.84"
"120728",E1218N4841,"10","0.86"
"120729",E1219N4841,"15","0.90"
"120731",E1221N4841,"35","0.93"
"120732",E1222N4841,"20","0.88"
"120733",E1223N4841,"30","0.87"
"120734",E1224N4841,"35","0.87"
"120735",E1225N4841,"15","0.87"
"120736",E1226N4841,"5","0.87"
"120738",E1228N4841,"10","0.81"
"120739",E1231N4841,"20","0.67"
"120740",E1232N4841,"25","0.69"
"120741",E1233N4841,"25","0.71"
"120742",E1234N4841,"10","0.73"
"120743",E1235N4841,"10","0.73"
"120744",E1236N4841,"20","0.73"
"120745",E1237N4841,"20","0.73"
"122390",E1218N4834,"5","0.80"
"122389",E1215N4834,"10","0.80"
"122178",E1218N4835,"45","0.77"
"122173",E1213N4835,"10","0.80"
"121969",E1218N4836,"110","0.73"
"121967",E1216N4836,"5","0.80"
"121966",E1215N4836,"5","0.80"
"121964",E1213N4836,"10","0.80"
"121744",E1220N4837,"15","0.73"
"121743",E1219N4837,"10","0.73"
"121740",E1216N4837,"10","0.77"
"121739",E1215N4837,"5","0.80"
"121738",E1214N4837,"5","0.80"
"122604",E1226N4833,"5","0.67"
"123040",E1209N4831,"5","0.89"
"119414",E1209N4846,"10","0.98"
"119415",E1210N4846,"20","1.00"
"119416",E1211N4846,"35","1.00"
"119417",E1214N4846,"15","0.97"
"119418",E1215N4846,"50","1.00"
"119419",E1216N4846,"45","0.99"
"119421",E1218N4846,"10","0.94"
"119422",E1219N4846,"30","0.91"
"119423",E1220N4846,"20","0.87"
"119424",E1221N4846,"20","0.86"
"119425",E1222N4846,"30","0.84"
"119426",E1223N4846,"25","0.81"
"119427",E1224N4846,"30","0.80"
"119430",E1227N4846,"5","0.81"
"119431",E1230N4846,"35","0.93"
"119432",E1231N4846,"25","0.93"
"119435",E1240N4846,"15","0.87"
"119438",E1243N4846,"5","0.78"
"119439",E1244N4846,"10","0.73"
"119440",E1245N4846,"10","0.71"
"119441",E1246N4846,"10","0.67"
"119148",E1209N4847,"30","0.94"
"119149",E1210N4847,"40","0.98"
"119150",E1211N4847,"15","1.00"
"119151",E1212N4847,"40","1.00"
"119152",E1213N4847,"25","1.00"
"119153",E1214N4847,"30","0.96"
"119154",E1215N4847,"75","0.91"
"119155",E1216N4847,"30","0.92"
"119156",E1217N4847,"25","0.93"
"119157",E1218N4847,"25","0.93"
"119158",E1219N4847,"75","0.93"
"119159",E1220N4847,"40","0.84"
"119160",E1221N4847,"50","0.80"
"119161",E1222N4847,"30","0.80"
"119162",E1223N4847,"35","0.80"
"119163",E1224N4847,"5","0.80"
"119165",E1227N4847,"20","0.84"
"119166",E1230N4847,"180","0.93"
"119167",E1231N4847,"10","0.93"
"119168",E1232N4847,"5","0.93"
"119169",E1233N4847,"15","0.91"
"119173",E1243N4847,"5","0.80"
"119174",E1244N4847,"15","0.76"
"119175",E1245N4847,"10","0.73"
"119176",E1246N4847,"15","0.67"
"119177",E1247N4847,"5","0.67"
"120976",E1212N4840,"15","0.92"
"120977",E1213N4840,"20","0.88"
"120978",E1214N4840,"15","0.81"
"120979",E1215N4840,"10","0.80"
"120980",E1216N4840,"10","0.80"
"120981",E1217N4840,"15","0.80"
"120983",E1219N4840,"30","0.84"
"120984",E1220N4840,"5","0.89"
"120985",E1221N4840,"10","0.89"
"120986",E1222N4840,"10","0.87"
"120987",E1223N4840,"20","0.84"
"120988",E1224N4840,"25","0.86"
"120989",E1225N4840,"25","0.87"
"120993",E1229N4840,"5","0.73"
"120995",E1232N4840,"10","0.67"
"120997",E1234N4840,"5","0.67"
"120998",E1235N4840,"10","0.69"
"120999",E1236N4840,"15","0.70"
"121000",E1237N4840,"15","0.71"
"117045",E1212N4854,"65","0.93"
"117046",E1213N4854,"50","0.93"
"117047",E1214N4854,"50","0.93"
"117048",E1215N4854,"40","0.93"
"117049",E1216N4854,"30","0.93"
"117050",E1217N4854,"35","0.93"
"117051",E1218N4854,"25","0.93"
"117052",E1219N4854,"55","0.91"
"117053",E1220N4854,"25","0.87"
"117054",E1221N4854,"5","0.87"
"117056",E1223N4854,"30","0.80"
"117057",E1224N4854,"35","0.80"
"117058",E1225N4854,"20","0.80"
"117059",E1226N4854,"55","0.83"
"117060",E1227N4854,"70","0.88"
"117061",E1228N4854,"55","0.93"
"117062",E1229N4854,"45","0.94"
"117063",E1230N4854,"50","1.00"
"117064",E1231N4854,"25","1.00"
"117065",E1232N4854,"25","1.00"
"117066",E1233N4854,"30","1.00"
"117067",E1234N4854,"50","1.00"
"117068",E1235N4854,"55","1.00"
"117069",E1236N4854,"35","0.96"
"117070",E1237N4854,"20","0.94"
"117072",E1239N4854,"10","0.93"
"117073",E1240N4854,"15","0.93"
"117074",E1241N4854,"15","0.93"
"117075",E1242N4854,"10","0.93"
"117076",E1243N4854,"25","0.93"
"117077",E1244N4854,"10","0.93"
"117376",E1212N4853,"45","0.93"
"117377",E1213N4853,"50","0.93"
"117378",E1214N4853,"20","0.93"
"117379",E1215N4853,"5","0.93"
"117380",E1216N4853,"5","0.93"
"117381",E1217N4853,"20","0.93"
