fid,crs28992re,1COR_DEN_INDEX_WALK,NUMNONWEST
"118038",E1233N4851,"0.96","50"
"118039",E1234N4851,"0.98","24"
"118040",E1235N4851,"1.00","50"
"118041",E1236N4851,"1.00","22"
"118042",E1237N4851,"1.00","28"
"118043",E1238N4851,"0.98","6"
"118044",E1239N4851,"0.93","10"
"118045",E1240N4851,"0.91","13"
"118046",E1241N4851,"0.86","17"
"118047",E1242N4851,"0.83","42"
"118048",E1243N4851,"0.79","15"
"118050",E1245N4851,"0.73","13"
"118051",E1246N4851,"0.73","8"
"118052",E1247N4851,"0.70","16"
"118053",E1248N4851,"0.68","5"
"121505",E1220N4838,"0.79","27"
"121504",E1219N4838,"0.76","56"
"121503",E1218N4838,"0.73","76"
"121502",E1217N4838,"0.73","92"
"121501",E1216N4838,"0.77","72"
"121500",E1215N4838,"0.84","43"
"121499",E1214N4838,"0.84","37"
"121498",E1213N4838,"0.83","8"
"121240",E1220N4839,"0.80","42"
"121239",E1219N4839,"0.80","92"
"121238",E1218N4839,"0.79","98"
"119690",E1220N4845,"0.87","27"
"119689",E1219N4845,"0.89","27"
"119688",E1218N4845,"0.99","80"
"119687",E1217N4845,"1.00","23"
"119686",E1216N4845,"1.00","38"
"119685",E1215N4845,"1.00","16"
"119684",E1214N4845,"1.00","11"
"119681",E1211N4845,"0.98","21"
"119680",E1210N4845,"1.00","26"
"119679",E1209N4845,"1.00","20"
"119678",E1208N4845,"0.99","6"
"120719",E1209N4841,"0.90","7"
"120720",E1210N4841,"0.97","15"
"120721",E1211N4841,"0.96","4"
"120722",E1212N4841,"0.94","34"
"120723",E1213N4841,"0.93","15"
"120724",E1214N4841,"0.89","23"
"120725",E1215N4841,"0.82","25"
"120726",E1216N4841,"0.80","20"
"120727",E1217N4841,"0.84","32"
"120728",E1218N4841,"0.86","19"
"120729",E1219N4841,"0.90","26"
"120731",E1221N4841,"0.93","62"
"120732",E1222N4841,"0.88","29"
"120733",E1223N4841,"0.87","37"
"120734",E1224N4841,"0.87","59"
"120735",E1225N4841,"0.87","30"
"120736",E1226N4841,"0.87","7"
"120738",E1228N4841,"0.81","50"
"120739",E1231N4841,"0.67","45"
"120740",E1232N4841,"0.69","40"
"120741",E1233N4841,"0.71","50"
"120742",E1234N4841,"0.73","7"
"120743",E1235N4841,"0.73","29"
"120744",E1236N4841,"0.73","29"
"120745",E1237N4841,"0.73","36"
"120746",E1238N4841,"0.71","8"
"122390",E1218N4834,"0.80","9"
"122389",E1215N4834,"0.80","25"
"122388",E1214N4834,"0.80","29"
"122387",E1213N4834,"0.80","9"
"122178",E1218N4835,"0.77","21"
"122176",E1216N4835,"0.80","19"
"122175",E1215N4835,"0.80","8"
"122174",E1214N4835,"0.80","10"
"122173",E1213N4835,"0.80","33"
"121969",E1218N4836,"0.73","142"
"121968",E1217N4836,"0.76","6"
"121967",E1216N4836,"0.80","10"
"121966",E1215N4836,"0.80","13"
"121965",E1214N4836,"0.80","16"
"121964",E1213N4836,"0.80","29"
"121744",E1220N4837,"0.73","33"
"121742",E1218N4837,"0.73","10"
"121741",E1217N4837,"0.73","9"
"121740",E1216N4837,"0.77","7"
"121739",E1215N4837,"0.80","13"
"121737",E1213N4837,"0.80","11"
"122604",E1226N4833,"0.67","31"
"122820",E1226N4832,"0.67","5"
"122821",E1227N4832,"0.62","12"
"123040",E1209N4831,"0.89","74"
"119414",E1209N4846,"0.98","56"
"119415",E1210N4846,"1.00","53"
"119416",E1211N4846,"1.00","57"
"119417",E1214N4846,"0.97","21"
"119418",E1215N4846,"1.00","57"
"119419",E1216N4846,"0.99","54"
"119420",E1217N4846,"0.96","14"
"119421",E1218N4846,"0.94","11"
"119422",E1219N4846,"0.91","66"
"119423",E1220N4846,"0.87","17"
"119424",E1221N4846,"0.86","71"
"119425",E1222N4846,"0.84","65"
"119426",E1223N4846,"0.81","66"
"119427",E1224N4846,"0.80","63"
"119429",E1226N4846,"0.80","4"
"119431",E1230N4846,"0.93","78"
"119432",E1231N4846,"0.93","33"
"119433",E1232N4846,"0.93","110"
"119434",E1233N4846,"0.93","31"
"119435",E1240N4846,"0.87","54"
"119436",E1241N4846,"0.82","20"
"119437",E1242N4846,"0.80","23"
"119438",E1243N4846,"0.78","17"
"119439",E1244N4846,"0.73","33"
"119440",E1245N4846,"0.71","20"
"119441",E1246N4846,"0.67","12"
"119148",E1209N4847,"0.94","53"
"119149",E1210N4847,"0.98","63"
"119150",E1211N4847,"1.00","35"
"119151",E1212N4847,"1.00","90"
"119152",E1213N4847,"1.00","56"
"119153",E1214N4847,"0.96","80"
"119154",E1215N4847,"0.91","92"
"119155",E1216N4847,"0.92","53"
"119156",E1217N4847,"0.93","37"
"119157",E1218N4847,"0.93","47"
"119158",E1219N4847,"0.93","126"
"119159",E1220N4847,"0.84","71"
"119160",E1221N4847,"0.80","66"
"119161",E1222N4847,"0.80","60"
"119162",E1223N4847,"0.80","102"
"119163",E1224N4847,"0.80","23"
"119164",E1226N4847,"0.80","12"
"119165",E1227N4847,"0.84","30"
"119166",E1230N4847,"0.93","428"
"119167",E1231N4847,"0.93","108"
"119168",E1232N4847,"0.93","32"
"119169",E1233N4847,"0.91","102"
"119171",E1241N4847,"0.82","11"
"119172",E1242N4847,"0.80","7"
"119173",E1243N4847,"0.80","14"
"119174",E1244N4847,"0.76","27"
"119175",E1245N4847,"0.73","9"
"119176",E1246N4847,"0.67","32"
"119177",E1247N4847,"0.67","12"
"120976",E1212N4840,"0.92","15"
"120977",E1213N4840,"0.88","25"
"120978",E1214N4840,"0.81","25"
"120979",E1215N4840,"0.80","18"
"120980",E1216N4840,"0.80","0"
"120981",E1217N4840,"0.80","31"
"120982",E1218N4840,"0.81","8"
"120983",E1219N4840,"0.84","33"
"120984",E1220N4840,"0.89","8"
"120985",E1221N4840,"0.89","16"
"120986",E1222N4840,"0.87","44"
