fid,crs28992re,INDEX_WALK,num_inh_2
"120983",E1219N4840,"0.84","325"
"120984",E1220N4840,"0.89","40"
"120985",E1221N4840,"0.89","160"
"120986",E1222N4840,"0.87","220"
"120987",E1223N4840,"0.84","195"
"120988",E1224N4840,"0.86","170"
"120989",E1225N4840,"0.87","205"
"120990",E1226N4840,"0.87","95"
"120991",E1227N4840,"0.86","15"
"120992",E1228N4840,"0.77","80"
"120993",E1229N4840,"0.73","125"
"120994",E1231N4840,"0.67","10"
"120995",E1232N4840,"0.67","50"
"120996",E1233N4840,"0.67","55"
"120997",E1234N4840,"0.67","175"
"120998",E1235N4840,"0.69","160"
"120999",E1236N4840,"0.70","90"
"121000",E1237N4840,"0.71","75"
"121001",E1238N4840,"0.64","15"
"117045",E1212N4854,"0.93","410"
"117046",E1213N4854,"0.93","300"
"117047",E1214N4854,"0.93","310"
"117048",E1215N4854,"0.93","360"
"117049",E1216N4854,"0.93","240"
"117050",E1217N4854,"0.93","260"
"117051",E1218N4854,"0.93","330"
"117052",E1219N4854,"0.91","230"
"117053",E1220N4854,"0.87","275"
"117054",E1221N4854,"0.87","175"
"117055",E1222N4854,"0.86","10"
"117056",E1223N4854,"0.80","320"
"117057",E1224N4854,"0.80","210"
"117058",E1225N4854,"0.80","290"
"117059",E1226N4854,"0.83","145"
"117060",E1227N4854,"0.88","380"
"117061",E1228N4854,"0.93","305"
"117062",E1229N4854,"0.94","375"
"117063",E1230N4854,"1.00","245"
"117064",E1231N4854,"1.00","100"
"117065",E1232N4854,"1.00","95"
"117066",E1233N4854,"1.00","335"
"117067",E1234N4854,"1.00","385"
"117068",E1235N4854,"1.00","410"
"117069",E1236N4854,"0.96","240"
"117070",E1237N4854,"0.94","170"
"117071",E1238N4854,"0.94","75"
"117072",E1239N4854,"0.93","165"
"117073",E1240N4854,"0.93","225"
"117074",E1241N4854,"0.93","140"
"117075",E1242N4854,"0.93","210"
"117076",E1243N4854,"0.93","195"
"117077",E1244N4854,"0.93","200"
"117078",E1245N4854,"0.93","50"
"117079",E1249N4854,"0.70","145"
"117080",E1250N4854,"0.65","235"
"117081",E1251N4854,"0.59","55"
"117376",E1212N4853,"0.93","350"
"117377",E1213N4853,"0.93","295"
"117378",E1214N4853,"0.93","245"
"117379",E1215N4853,"0.93","115"
"117380",E1216N4853,"0.93","50"
"117381",E1217N4853,"0.93","230"
"117382",E1218N4853,"0.93","240"
"117383",E1219N4853,"0.89","210"
"117384",E1220N4853,"0.87","155"
"117385",E1221N4853,"0.87","285"
"117386",E1222N4853,"0.84","25"
"117387",E1223N4853,"0.80","110"
"117388",E1224N4853,"0.80","225"
"117389",E1225N4853,"0.80","130"
"117390",E1226N4853,"0.81","15"
"117391",E1227N4853,"0.83","110"
"117392",E1228N4853,"0.92","220"
"117393",E1229N4853,"0.95","100"
"117394",E1230N4853,"1.00","150"
"117395",E1231N4853,"1.00","235"
"117396",E1232N4853,"1.00","320"
"117397",E1233N4853,"1.00","245"
"117398",E1234N4853,"1.00","205"
"117399",E1235N4853,"1.00","330"
"117400",E1236N4853,"1.00","270"
"117401",E1237N4853,"0.97","105"
"117402",E1238N4853,"0.94","115"
"117403",E1239N4853,"0.95","205"
"117404",E1240N4853,"0.93","135"
"117405",E1241N4853,"0.93","170"
"117406",E1242N4853,"0.93","210"
"117407",E1243N4853,"0.93","200"
"117408",E1244N4853,"0.93","210"
"117409",E1245N4853,"0.93","175"
"117410",E1246N4853,"0.88","80"
"117411",E1247N4853,"0.83","25"
"117412",E1250N4853,"0.62","125"
"117413",E1251N4853,"0.54","280"
"117414",E1252N4853,"0.53","15"
"116736",E1215N4855,"0.93","285"
"116737",E1216N4855,"0.93","175"
"116738",E1217N4855,"0.93","300"
"116739",E1218N4855,"0.93","290"
