fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_CALC_FMC_PETAR_AMENITIES_FMC_INDEX_NON_Num_65+rea,1COR_DEN_INDEX_WALK
"118025",E1220N4851,"40","40","40","0.87"
"118026",E1221N4851,"15","15","15","0.86"
"118027",E1222N4851,"10","10","10","0.80"
"118028",E1223N4851,"5","5","5","0.80"
"118029",E1224N4851,"10","10","10","0.80"
"118030",E1225N4851,"20","20","20","0.80"
"118031",E1226N4851,"15","15","15","0.76"
"118032",E1227N4851,"2","2","2","0.82"
"118033",E1228N4851,"20","20","20","0.87"
"118034",E1229N4851,"25","25","25","0.90"
"118035",E1230N4851,"50","50","50","0.94"
"118036",E1231N4851,"20","20","20","0.97"
"118037",E1232N4851,"45","45","45","0.99"
"118038",E1233N4851,"35","35","35","0.96"
"118039",E1234N4851,"15","15","15","0.98"
"118040",E1235N4851,"30","30","30","1.00"
"118041",E1236N4851,"30","30","30","1.00"
"118042",E1237N4851,"40","40","40","1.00"
"118043",E1238N4851,"10","10","10","0.98"
"118044",E1239N4851,"45","45","45","0.93"
"118045",E1240N4851,"15","15","15","0.91"
"118046",E1241N4851,"35","35","35","0.86"
"118047",E1242N4851,"45","45","45","0.83"
"118048",E1243N4851,"20","20","20","0.79"
"118049",E1244N4851,"2","2","2","0.75"
"118050",E1245N4851,"10","10","10","0.73"
"118051",E1246N4851,"15","15","15","0.73"
"118052",E1247N4851,"20","20","20","0.70"
"118053",E1248N4851,"2","2","2","0.68"
"121505",E1220N4838,"35","35","35","0.79"
"121504",E1219N4838,"40","40","40","0.76"
"121503",E1218N4838,"40","40","40","0.73"
"121502",E1217N4838,"70","70","70","0.73"
"121501",E1216N4838,"65","65","65","0.77"
"121500",E1215N4838,"45","45","45","0.84"
"121499",E1214N4838,"40","40","40","0.84"
"121498",E1213N4838,"10","10","10","0.83"
"121240",E1220N4839,"35","35","35","0.80"
"121239",E1219N4839,"30","30","30","0.80"
"121238",E1218N4839,"55","55","55","0.79"
"119690",E1220N4845,"20","20","20","0.87"
"119689",E1219N4845,"25","25","25","0.89"
"119688",E1218N4845,"60","60","60","0.99"
"119687",E1217N4845,"25","25","25","1.00"
"119686",E1216N4845,"35","35","35","1.00"
"119685",E1215N4845,"15","15","15","1.00"
"119684",E1214N4845,"15","15","15","1.00"
"119683",E1213N4845,"2","2","2","0.97"
"119682",E1212N4845,"25","25","25","0.94"
"119681",E1211N4845,"20","20","20","0.98"
"119680",E1210N4845,"25","25","25","1.00"
"119679",E1209N4845,"25","25","25","1.00"
"119678",E1208N4845,"5","5","5","0.99"
"120718",E1208N4841,"2","2","2","0.81"
"120719",E1209N4841,"10","10","10","0.90"
"120720",E1210N4841,"5","5","5","0.97"
"120721",E1211N4841,"5","5","5","0.96"
"120722",E1212N4841,"25","25","25","0.94"
"120723",E1213N4841,"25","25","25","0.93"
"120724",E1214N4841,"35","35","35","0.89"
"120725",E1215N4841,"40","40","40","0.82"
"120726",E1216N4841,"30","30","30","0.80"
"120727",E1217N4841,"35","35","35","0.84"
"120728",E1218N4841,"15","15","15","0.86"
"120729",E1219N4841,"35","35","35","0.90"
"120730",E1220N4841,"2","2","2","0.93"
"120731",E1221N4841,"25","25","25","0.93"
"120732",E1222N4841,"10","10","10","0.88"
"120733",E1223N4841,"25","25","25","0.87"
"120734",E1224N4841,"25","25","25","0.87"
"120735",E1225N4841,"15","15","15","0.87"
"120736",E1226N4841,"5","5","5","0.87"
"120737",E1227N4841,"15","15","15","0.87"
"120738",E1228N4841,"60","60","60","0.81"
"120739",E1231N4841,"25","25","25","0.67"
"120740",E1232N4841,"30","30","30","0.69"
"120741",E1233N4841,"25","25","25","0.71"
"120742",E1234N4841,"10","10","10","0.73"
"120743",E1235N4841,"30","30","30","0.73"
"120744",E1236N4841,"25","25","25","0.73"
"120745",E1237N4841,"25","25","25","0.73"
"120746",E1238N4841,"10","10","10","0.71"
"122602",E1222N4833,"2","2","2","0.73"
"122601",E1221N4833,"2","2","2","0.79"
"122600",E1220N4833,"2","2","2","0.80"
"122599",E1219N4833,"2","2","2","0.80"
"122390",E1218N4834,"5","5","5","0.80"
"122389",E1215N4834,"15","15","15","0.80"
"122388",E1214N4834,"25","25","25","0.80"
"122387",E1213N4834,"2","2","2","0.80"
"122178",E1218N4835,"35","35","35","0.77"
"122177",E1217N4835,"20","20","20","0.80"
"122176",E1216N4835,"165","165","165","0.80"
"122175",E1215N4835,"5","5","5","0.80"
"122174",E1214N4835,"10","10","10","0.80"
"122173",E1213N4835,"2","2","2","0.80"
"121969",E1218N4836,"55","55","55","0.73"
"121968",E1217N4836,"20","20","20","0.76"
"121967",E1216N4836,"20","20","20","0.80"
"121966",E1215N4836,"20","20","20","0.80"
"121965",E1214N4836,"15","15","15","0.80"
"121964",E1213N4836,"15","15","15","0.80"
"121744",E1220N4837,"10","10","10","0.73"
"121743",E1219N4837,"15","15","15","0.73"
"121742",E1218N4837,"40","40","40","0.73"
"121741",E1217N4837,"10","10","10","0.73"
"121740",E1216N4837,"10","10","10","0.77"
"121739",E1215N4837,"2","2","2","0.80"
"121738",E1214N4837,"15","15","15","0.80"
"121737",E1213N4837,"2","2","2","0.80"
"122603",E1223N4833,"2","2","2","0.69"
"122604",E1226N4833,"2","2","2","0.67"
"122817",E1210N4832,"2","2","2","0.93"
"122818",E1221N4832,"5","5","5","0.79"
"122819",E1222N4832,"2","2","2","0.69"
"122820",E1226N4832,"2","2","2","0.67"
"122821",E1227N4832,"2","2","2","0.62"
"123040",E1209N4831,"5","5","5","0.89"
"123041",E1222N4831,"2","2","2","0.72"
"123269",E1217N4830,"2","2","2","0.67"
"123270",E1219N4830,"2","2","2","0.74"
"123271",E1220N4830,"2","2","2","0.80"
"123272",E1222N4830,"2","2","2","0.69"
"119414",E1209N4846,"40","40","40","0.98"
"119415",E1210N4846,"30","30","30","1.00"
"119416",E1211N4846,"60","60","60","1.00"
"119417",E1214N4846,"5","5","5","0.97"
"119418",E1215N4846,"50","50","50","1.00"
"119419",E1216N4846,"50","50","50","0.99"
"119420",E1217N4846,"10","10","10","0.96"
"119421",E1218N4846,"10","10","10","0.94"
"119422",E1219N4846,"30","30","30","0.91"
"119423",E1220N4846,"20","20","20","0.87"
"119424",E1221N4846,"25","25","25","0.86"
"119425",E1222N4846,"30","30","30","0.84"
"119426",E1223N4846,"25","25","25","0.81"
"119427",E1224N4846,"30","30","30","0.80"
"119428",E1225N4846,"2","2","2","0.80"
"119429",E1226N4846,"10","10","10","0.80"
"119430",E1227N4846,"2","2","2","0.81"
"119431",E1230N4846,"15","15","15","0.93"
"119432",E1231N4846,"2","2","2","0.93"
"119433",E1232N4846,"2","2","2","0.93"
"119434",E1233N4846,"2","2","2","0.93"
"119435",E1240N4846,"10","10","10","0.87"
"119436",E1241N4846,"5","5","5","0.82"
"119437",E1242N4846,"2","2","2","0.80"
"119438",E1243N4846,"15","15","15","0.78"
"119439",E1244N4846,"25","25","25","0.73"
"119440",E1245N4846,"25","25","25","0.71"
"119441",E1246N4846,"15","15","15","0.67"
"119148",E1209N4847,"35","35","35","0.94"
"119149",E1210N4847,"40","40","40","0.98"
"119150",E1211N4847,"20","20","20","1.00"
"119151",E1212N4847,"50","50","50","1.00"
"119152",E1213N4847,"20","20","20","1.00"
"119153",E1214N4847,"30","30","30","0.96"
"119154",E1215N4847,"55","55","55","0.91"
"119155",E1216N4847,"40","40","40","0.92"
"119156",E1217N4847,"45","45","45","0.93"
"119157",E1218N4847,"45","45","45","0.93"
"119158",E1219N4847,"55","55","55","0.93"
"119159",E1220N4847,"25","25","25","0.84"
"119160",E1221N4847,"45","45","45","0.80"
"119161",E1222N4847,"30","30","30","0.80"
"119162",E1223N4847,"30","30","30","0.80"
"119163",E1224N4847,"20","20","20","0.80"
"119164",E1226N4847,"15","15","15","0.80"
"119165",E1227N4847,"15","15","15","0.84"
"119166",E1230N4847,"15","15","15","0.93"
"119167",E1231N4847,"2","2","2","0.93"
"119168",E1232N4847,"2","2","2","0.93"
"119169",E1233N4847,"2","2","2","0.91"
"119170",E1240N4847,"2","2","2","0.87"
"119171",E1241N4847,"5","5","5","0.82"
"119172",E1242N4847,"5","5","5","0.80"
"119173",E1243N4847,"25","25","25","0.80"
"119174",E1244N4847,"15","15","15","0.76"
"119175",E1245N4847,"10","10","10","0.73"
"119176",E1246N4847,"15","15","15","0.67"
"119177",E1247N4847,"15","15","15","0.67"
"120976",E1212N4840,"20","20","20","0.92"
"120977",E1213N4840,"35","35","35","0.88"
"120978",E1214N4840,"20","20","20","0.81"
"120979",E1215N4840,"10","10","10","0.80"
"120980",E1216N4840,"35","35","35","0.80"
"120981",E1217N4840,"45","45","45","0.80"
"120982",E1218N4840,"25","25","25","0.81"
"120983",E1219N4840,"30","30","30","0.84"
"120984",E1220N4840,"5","5","5","0.89"
"120985",E1221N4840,"20","20","20","0.89"
"120986",E1222N4840,"30","30","30","0.87"
"120987",E1223N4840,"15","15","15","0.84"
"120988",E1224N4840,"35","35","35","0.86"
"120989",E1225N4840,"35","35","35","0.87"
"120990",E1226N4840,"10","10","10","0.87"
"120991",E1227N4840,"2","2","2","0.86"
"120992",E1228N4840,"25","25","25","0.77"
"120993",E1229N4840,"5","5","5","0.73"
"120994",E1231N4840,"2","2","2","0.67"
"120995",E1232N4840,"20","20","20","0.67"
"120996",E1233N4840,"5","5","5","0.67"
"120997",E1234N4840,"25","25","25","0.67"
"120998",E1235N4840,"20","20","20","0.69"
"120999",E1236N4840,"15","15","15","0.70"
"121000",E1237N4840,"20","20","20","0.71"
"121001",E1238N4840,"2","2","2","0.64"
"117045",E1212N4854,"25","25","25","0.93"
"117046",E1213N4854,"35","35","35","0.93"
"117047",E1214N4854,"25","25","25","0.93"
"117048",E1215N4854,"40","40","40","0.93"
"117049",E1216N4854,"30","30","30","0.93"
"117050",E1217N4854,"40","40","40","0.93"
"117051",E1218N4854,"25","25","25","0.93"
"117052",E1219N4854,"15","15","15","0.91"
"117053",E1220N4854,"20","20","20","0.87"
"117054",E1221N4854,"95","95","95","0.87"
"117055",E1222N4854,"2","2","2","0.86"
"117056",E1223N4854,"35","35","35","0.80"
"117057",E1224N4854,"30","30","30","0.80"
"117058",E1225N4854,"15","15","15","0.80"
"117059",E1226N4854,"15","15","15","0.83"
"117060",E1227N4854,"35","35","35","0.88"
"117061",E1228N4854,"40","40","40","0.93"
"117062",E1229N4854,"35","35","35","0.94"
"117063",E1230N4854,"25","25","25","1.00"
"117064",E1231N4854,"15","15","15","1.00"
"117065",E1232N4854,"15","15","15","1.00"
"117066",E1233N4854,"30","30","30","1.00"
"117067",E1234N4854,"30","30","30","1.00"
"117068",E1235N4854,"35","35","35","1.00"
"117069",E1236N4854,"20","20","20","0.96"
"117070",E1237N4854,"20","20","20","0.94"
"117071",E1238N4854,"20","20","20","0.94"
"117072",E1239N4854,"15","15","15","0.93"
"117073",E1240N4854,"25","25","25","0.93"
"117074",E1241N4854,"20","20","20","0.93"
"117075",E1242N4854,"30","30","30","0.93"
"117076",E1243N4854,"30","30","30","0.93"
"117077",E1244N4854,"25","25","25","0.93"
"117078",E1245N4854,"5","5","5","0.93"
"117079",E1249N4854,"2","2","2","0.70"
"117080",E1250N4854,"2","2","2","0.65"
"117081",E1251N4854,"2","2","2","0.59"
"117376",E1212N4853,"35","35","35","0.93"
"117377",E1213N4853,"25","25","25","0.93"
"117378",E1214N4853,"25","25","25","0.93"
"117379",E1215N4853,"15","15","15","0.93"
"117380",E1216N4853,"10","10","10","0.93"
"117381",E1217N4853,"20","20","20","0.93"
"117382",E1218N4853,"25","25","25","0.93"
"117383",E1219N4853,"15","15","15","0.89"
"117384",E1220N4853,"20","20","20","0.87"
"117385",E1221N4853,"115","115","115","0.87"
"117386",E1222N4853,"2","2","2","0.84"
"117387",E1223N4853,"35","35","35","0.80"
"117388",E1224N4853,"60","60","60","0.80"
"117389",E1225N4853,"15","15","15","0.80"
"117390",E1226N4853,"2","2","2","0.81"
"117391",E1227N4853,"10","10","10","0.83"
"117392",E1228N4853,"25","25","25","0.92"
"117393",E1229N4853,"5","5","5","0.95"
