fid,crs28992re,FMC_INDEX_SOC_Num_65+rea,FMC_INDEX_FOOT_FMC_INDEX_SOC_Num_65+rea
"118029",E1224N4851,"10","10"
"118030",E1225N4851,"20","20"
"118031",E1226N4851,"15","15"
"118032",E1227N4851,"2","2"
"118033",E1228N4851,"20","20"
"118034",E1229N4851,"25","25"
"118035",E1230N4851,"50","50"
"118036",E1231N4851,"20","20"
"118037",E1232N4851,"45","45"
"118038",E1233N4851,"35","35"
"118039",E1234N4851,"15","15"
"118040",E1235N4851,"30","30"
"118041",E1236N4851,"30","30"
"118042",E1237N4851,"40","40"
"118043",E1238N4851,"10","10"
"118044",E1239N4851,"45","45"
"118045",E1240N4851,"15","15"
"118046",E1241N4851,"35","35"
"118047",E1242N4851,"45","45"
"118048",E1243N4851,"20","20"
"118049",E1244N4851,"2","2"
"118050",E1245N4851,"10","10"
"118051",E1246N4851,"15","15"
"118052",E1247N4851,"20","20"
"118053",E1248N4851,"2","2"
"121505",E1220N4838,"35","35"
"121504",E1219N4838,"40","40"
"121503",E1218N4838,"40","40"
"121502",E1217N4838,"70","70"
"121501",E1216N4838,"65","65"
"121500",E1215N4838,"45","45"
"121499",E1214N4838,"40","40"
"121498",E1213N4838,"10","10"
"121240",E1220N4839,"35","35"
"121239",E1219N4839,"30","30"
"121238",E1218N4839,"55","55"
"119690",E1220N4845,"20","20"
"119689",E1219N4845,"25","25"
"119688",E1218N4845,"60","60"
"119687",E1217N4845,"25","25"
"119686",E1216N4845,"35","35"
"119685",E1215N4845,"15","15"
"119684",E1214N4845,"15","15"
"119683",E1213N4845,"2","2"
"119682",E1212N4845,"25","25"
"119681",E1211N4845,"20","20"
"119680",E1210N4845,"25","25"
"119679",E1209N4845,"25","25"
"119678",E1208N4845,"5","5"
"120718",E1208N4841,"2","2"
"120719",E1209N4841,"10","10"
"120720",E1210N4841,"5","5"
"120721",E1211N4841,"5","5"
"120722",E1212N4841,"25","25"
"120723",E1213N4841,"25","25"
"120724",E1214N4841,"35","35"
"120725",E1215N4841,"40","40"
"120726",E1216N4841,"30","30"
"120727",E1217N4841,"35","35"
"120728",E1218N4841,"15","15"
"120729",E1219N4841,"35","35"
"120730",E1220N4841,"2","2"
"120731",E1221N4841,"25","25"
"120732",E1222N4841,"10","10"
"120733",E1223N4841,"25","25"
"120734",E1224N4841,"25","25"
"120735",E1225N4841,"15","15"
"120736",E1226N4841,"5","5"
"120737",E1227N4841,"15","15"
"120738",E1228N4841,"60","60"
"120739",E1231N4841,"25","25"
"120740",E1232N4841,"30","30"
"120741",E1233N4841,"25","25"
"120742",E1234N4841,"10","10"
"120743",E1235N4841,"30","30"
"120744",E1236N4841,"25","25"
"120745",E1237N4841,"25","25"
"120746",E1238N4841,"10","10"
"122602",E1222N4833,"2","2"
"122601",E1221N4833,"2","2"
"122600",E1220N4833,"2","2"
"122599",E1219N4833,"2","2"
"122390",E1218N4834,"5","5"
"122389",E1215N4834,"15","15"
"122388",E1214N4834,"25","25"
"122387",E1213N4834,"2","2"
"122178",E1218N4835,"35","35"
"122177",E1217N4835,"20","20"
"122176",E1216N4835,"165","165"
"122175",E1215N4835,"5","5"
"122174",E1214N4835,"10","10"
"122173",E1213N4835,"2","2"
"121969",E1218N4836,"55","55"
"121968",E1217N4836,"20","20"
"121967",E1216N4836,"20","20"
"121966",E1215N4836,"20","20"
"121965",E1214N4836,"15","15"
"121964",E1213N4836,"15","15"
"121744",E1220N4837,"10","10"
"121743",E1219N4837,"15","15"
"121742",E1218N4837,"40","40"
"121741",E1217N4837,"10","10"
"121740",E1216N4837,"10","10"
"121739",E1215N4837,"2","2"
"121738",E1214N4837,"15","15"
"121737",E1213N4837,"2","2"
"122603",E1223N4833,"2","2"
"122604",E1226N4833,"2","2"
"122817",E1210N4832,"2","2"
"122818",E1221N4832,"5","5"
"122819",E1222N4832,"2","2"
"122820",E1226N4832,"2","2"
"122821",E1227N4832,"2","2"
"123040",E1209N4831,"5","5"
"123041",E1222N4831,"2","2"
"123269",E1217N4830,"2","2"
"123270",E1219N4830,"2","2"
"123271",E1220N4830,"2","2"
"123272",E1222N4830,"2","2"
"119414",E1209N4846,"40","40"
"119415",E1210N4846,"30","30"
"119416",E1211N4846,"60","60"
"119417",E1214N4846,"5","5"
"119418",E1215N4846,"50","50"
"119419",E1216N4846,"50","50"
"119420",E1217N4846,"10","10"
"119421",E1218N4846,"10","10"
"119422",E1219N4846,"30","30"
"119423",E1220N4846,"20","20"
"119424",E1221N4846,"25","25"
"119425",E1222N4846,"30","30"
"119426",E1223N4846,"25","25"
"119427",E1224N4846,"30","30"
"119428",E1225N4846,"2","2"
"119429",E1226N4846,"10","10"
"119430",E1227N4846,"2","2"
"119431",E1230N4846,"15","15"
"119432",E1231N4846,"2","2"
"119433",E1232N4846,"2","2"
"119434",E1233N4846,"2","2"
"119435",E1240N4846,"10","10"
"119436",E1241N4846,"5","5"
"119437",E1242N4846,"2","2"
"119438",E1243N4846,"15","15"
"119439",E1244N4846,"25","25"
"119440",E1245N4846,"25","25"
"119441",E1246N4846,"15","15"
"119148",E1209N4847,"35","35"
"119149",E1210N4847,"40","40"
"119150",E1211N4847,"20","20"
"119151",E1212N4847,"50","50"
"119152",E1213N4847,"20","20"
"119153",E1214N4847,"30","30"
"119154",E1215N4847,"55","55"
"119155",E1216N4847,"40","40"
